income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month,fraud_bool
0.9,,-1,224,30,0.021635727484947,0.350752830377079,AA,391,2463.801407792731,2800.456440323256,4161.542535218264,1197,2,CA,225,0,BA,1,1,28,,200.0,0,INTERNET,2.8648656717790413,other,1,1,,6,0
0.4,,-1,274,60,3.557298720387778,-1.0794610740355437,AC,1290,3282.4337452121026,3835.187634489104,5421.223516828634,1,1,CC,269,1,BA,1,0,-1,,200.0,0,INTERNET,8.055083448201604,windows,1,1,,1,1
0.9,,60,1,20,0.0062824010152838,-0.4989429513749709,AB,580,9831.104341123077,5320.271805313238,4165.672976297364,10,20,CA,173,0,BB,0,1,1,,1000.0,0,INTERNET,5.487189387969027,other,1,1,,5,0
0.8,,-1,47,30,0.0301172575722346,51.534313363373,AA,1742,5978.742529392989,4634.264722897502,3056.124613914049,1555,14,CB,108,0,BC,0,1,21,,200.0,0,INTERNET,3.419243678073033,other,0,1,,7,0
0.1,,12,370,20,0.0055044524840205,-0.7631075381687709,AD,744,9080.199783500404,4161.928590343929,4310.537912678647,1,8,CA,254,1,BE,0,1,21,,1000.0,0,INTERNET,5.281604555244186,windows,1,1,,1,0
0.6000000000000001,,-1,136,50,0.0296261795752596,-0.2225247974320717,AB,1139,1452.705547820451,3706.122426298388,5604.321552726451,694,13,CB,36,0,BE,1,0,28,,200.0,0,INTERNET,1.254760885600394,windows,0,1,,1,0
0.8,,50,4,30,0.0090507131805848,-0.2830096341544253,AB,916,10314.926983739811,5842.750553479518,4861.824481588689,9,9,CB,97,1,BB,0,1,29,,500.0,0,INTERNET,3.995490700056144,other,0,1,,3,0
0.3,,-1,75,30,0.0137440115942632,22.221567585408437,AA,1879,2535.3453933845044,1850.468029146302,3047.349696101023,9,9,CA,151,1,BA,0,1,28,,500.0,0,INTERNET,4.171254227058252,windows,0,1,,7,1
0.7000000000000001,,-1,255,30,0.003904750438428,-0.848025862097783,AB,915,12090.877669624624,5406.305479478172,5579.716504551268,12,14,CA,105,0,BC,0,1,16,,200.0,0,INTERNET,4.363930597331128,other,1,1,,1,0
0.7000000000000001,,-1,183,60,5.0184311437300095e-05,-1.1044082306551688,AD,1888,7291.042220359368,4783.805882769386,5552.1483495137645,15,1,CC,103,0,BB,1,1,28,,200.0,0,INTERNET,4.496860386536993,windows,0,1,,2,1
0.9,,-1,147,40,0.0028941463396551,-0.5714536454320454,AC,1831,5061.825031605048,4505.063743395558,5666.128643784471,0,18,CA,129,0,BA,0,1,-1,,200.0,0,INTERNET,1.1317430029958704,other,0,1,,2,1
0.8,,-1,96,40,0.0052852700849492,-1.0176045210115834,AB,664,3409.824516608859,2088.7590454575525,3117.592952539981,15,3,CA,266,1,BC,0,1,10,,2000.0,0,INTERNET,7.859759788546734,windows,0,1,,7,0
0.8,,-1,245,60,0.0217446800599722,15.384419260709734,AA,876,7536.429020299986,5972.72953265328,6026.631292703067,13,6,CF,57,1,BA,1,1,5,,200.0,0,INTERNET,5.2333883351985175,macintosh,0,2,,0,1
0.9,,-1,40,40,0.0266956109185638,26.278419328104505,AA,525,6640.871533242635,4977.022284668999,4184.886976050633,1260,3,CA,187,0,BC,0,1,5,,1500.0,0,INTERNET,4.619825837889335,other,0,1,,5,0
0.9,,-1,196,50,0.004090568536524,-0.6650162911274891,AC,995,5590.208240144606,4961.78151674823,5601.529850599936,1,4,CA,139,0,BA,1,1,-1,,500.0,0,INTERNET,7.332927328691738,other,0,0,,2,1
0.8,,-1,64,40,0.0063669387327587,-1.2258973447015442,AB,765,4747.719883493802,2695.416178643307,3115.025793585988,14,8,CA,227,0,BC,0,1,30,,200.0,0,INTERNET,1.4883156378958355,windows,0,1,,7,1
0.7000000000000001,,-1,52,30,0.0154855309336441,-0.8886902740258009,AB,864,8402.650673294338,7717.974721547891,6411.065083445084,37,14,CA,49,1,BC,0,1,1,,1000.0,1,INTERNET,4.370215572277412,windows,1,1,,0,0
